hebrew,english,arabic
איך נוצרים עננים?,How are clouds formed?,كيف تتشكل السحب؟
איך הדינזוארים נכחדו?,How did the dinosaurs become extinct?,كيف انقرضت الديناصورات؟
מה זה דינוזאור?,What is a dinosaur?,ما هو الديناصور؟
למה יש לבני אדם צבעי עיניים שונים,Why do humans have different eye colors?,لماذا تختلف ألوان عيون البشر؟
מה ההבדל בין זאב לכלב ?,What is the difference between a wolf and a dog?,ما الفرق بين الذئب والكلب؟
תסביר על מהירות האור,Explain the speed of light.,اشرح سرعة الضوء.
מה הם תאי דם ,What are blood cells?,ما هي خلايا الدم؟
איך בונים חללית?,How do you build a spaceship?,كيف تقوم ببناء سفينة فضائية؟
מה היא בינה מלאכותית?,What is artificial intelligence?,ما هو الذكاء الاصطناعي؟
כמה זמן קיים כדור הארץ?,How long has the Earth existed?,كم من الوقت كانت الأرض موجودة؟
מה הוא שביל החלב ?,What is the Milky Way?,ما هي مجرة ​​درب التبانة؟
כיצד נוצרים יהלומים?,How are diamonds formed?,كيف تتكون الماسات؟
איך עובד מנוע דיזל?,How does a diesel engine work?,كيف يعمل محرك الديزل؟
מה היא אבולוציה? ,What is evolution?,ما هو التطور؟
איך דגים מתרבים ?,How do fish reproduce?,كيف تتكاثر الأسماك؟
מה זה חור שחור?,What is a black hole?,ما هو الثقب الأسود؟
מה זה חיידק?,What is a bacterium?,ما هي البكتيريا؟
איך מטוסים עפים?,How do planes fly?,كيف تطير الطائرات؟
למה יש עונות שנה?,Why are there seasons?,لماذا هناك فصول؟
מה זה גנטיקה?,What is genetics?,ما هو علم الوراثة؟
איך נוצרת קשת בענן?,How is a rainbow formed?,كيف يتكون قوس القزح؟
מה תפקיד המוח בגוף האדם?,What is the role of the brain in the human body?,ما هو دور الدماغ في جسم الإنسان؟
איך פועלת טורבינה?,How does a turbine work?,كيف يعمل التوربين؟
מה זה מולקולה?,What is a molecule?,ما هو الجزيء؟
מה זה קרינה?,What is radiation?,ما هو الإشعاع؟
מה זה ירח?,What is a moon?,ما هو القمر؟
למה יש גאות ושפל?,Why are there tides?,لماذا هناك المد والجزر؟
איך נוצרים הרי געש?,How are volcanoes formed?,كيف تتكون البراكين؟
מה זה אינטרנט?,What is the Internet?,ما هو الانترنت؟
איך נוצרים גלים בים?,How are waves formed in the sea?,كيف تتشكل الأمواج في البحر؟
למה כדור הארץ מסתובב?,Why does the Earth rotate?,لماذا تدور الأرض؟
מה זה מגנט?,What is a magnet?,ما هو المغناطيس؟
מה זה מעגל חשמלי?,What is an electrical circuit?,ما هي الدائرة الكهربائية؟
מה זה קו המשווה?,What is the equator?,ما هو خط الاستواء؟
הסבר את המונח - כבידה,Explain the term - gravity,اشرح مصطلح الجاذبية
איך פועלת פצצת אטום?,How does an atomic bomb work?,كيف تعمل القنبلة الذرية؟
הסבר את תופעת ההתחממות הגלובלית,Explain the phenomenon of global warming,اشرح ظاهرة الاحتباس الحراري
קיים דבר כזה חייזרים?,Is there such a thing as aliens?,هل يوجد شيء اسمه كائنات فضائية؟
איך נוצרות גלקסיות?,How are galaxies formed?,كيف تتشكل المجرات؟
מה זה מצפן?,What is a compass?,ما هي البوصلة؟